delta,beta0
5e-05,0.02
5e-05,0.05
5e-05,0.05
0.0001,0.05
0.0001,0.01
5e-05,0.05
5e-05,0.05
5e-05,0.05
0.0001,0.03
5e-05,0.05
5e-05,0.04
0.00025,0.0
0.0001,0.03
5e-05,0.05
5e-05,0.02
5e-05,0.05
5e-05,0.03
0.0001,0.02
5e-05,0.05
0.00025,0.03
0.0001,0.03
5e-05,0.04
5e-05,0.05
5e-05,0.05
0.0001,0.03
5e-05,0.01
5e-05,0.03
1e-05,0.02
5e-05,0.02
5e-05,0.04
1e-05,0.03
0.0001,0.05
5e-05,0.03
5e-05,0.01
5e-05,0.03
1e-05,0.03
0.0001,0.05
0.0001,0.05
5e-05,0.04
1e-05,0.04
5e-05,0.02
5e-05,0.0
5e-05,0.05
0.0001,0.04
5e-05,0.05
0.0001,0.05
1e-05,0.03
0.0001,0.01
5e-05,0.05
0.0001,0.03
5e-05,0.05
5e-05,0.04
0.0001,0.05
5e-05,0.02
0.0001,0.01
5e-05,0.05
5e-05,0.04
5e-05,0.05
5e-05,0.0
5e-05,0.04
5e-05,0.02
5e-05,0.05
0.00025,0.0
5e-05,0.02
5e-05,0.05
5e-05,0.03
5e-05,0.04
5e-05,0.01
5e-05,0.05
0.0001,0.03
0.0001,0.04
1e-05,0.02
0.0001,0.05
5e-05,0.03
0.0001,0.02
5e-05,0.04
5e-05,0.04
5e-05,0.01
5e-05,0.05
0.00025,0.05
0.0001,0.03
5e-05,0.03
0.0001,0.05
0.0001,0.02
1e-05,0.03
0.0001,0.03
0.0001,0.04
5e-05,0.04
5e-05,0.05
5e-05,0.05
5e-05,0.05
0.0001,0.05
5e-05,0.04
5e-05,0.05
5e-05,0.01
0.0001,0.05
0.00025,0.0
5e-05,0.04
5e-05,0.05
5e-05,0.05
0.0001,0.03
5e-05,0.05
5e-05,0.02
0.0001,0.05
5e-05,0.01
5e-05,0.02
5e-05,0.04
5e-05,0.02
5e-05,0.02
0.0001,0.05
0.0001,0.03
5e-05,0.04
5e-05,0.0
5e-05,0.05
5e-05,0.01
5e-05,0.01
0.0001,0.05
5e-05,0.05
0.0001,0.01
5e-05,0.03
5e-05,0.05
0.0001,0.01
5e-05,0.04
5e-05,0.04
5e-05,0.0
5e-05,0.01
5e-05,0.03
1e-05,0.03
5e-05,0.05
5e-05,0.04
0.0001,0.05
1e-05,0.04
5e-05,0.0
5e-05,0.03
5e-05,0.01
0.0001,0.03
5e-05,0.0
0.0001,0.01
5e-05,0.05
0.00025,0.0
5e-05,0.05
0.0001,0.03
5e-05,0.05
0.0001,0.03
5e-05,0.05
5e-05,0.05
1e-05,0.03
5e-05,0.05
5e-05,0.03
5e-05,0.02
0.0001,0.04
5e-05,0.02
5e-05,0.05
5e-05,0.05
0.0001,0.02
5e-05,0.04
0.0001,0.01
0.0001,0.03
0.0001,0.02
0.0001,0.04
5e-05,0.03
1e-05,0.04
5e-05,0.05
